<ObjectType>;<ObjectID>;<ConduitType>;<Postion>;<Color/Type>;<CableID>;<CableLenght[m]>
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002643.1<-->MFG-002650.1(1);955
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0097;-;0;Handhole;;0
Empty;;-;0;;;0
Node;*[DctP]:FP-002497;-;0;Fitting Point;;0
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-02;SRV-G 7 x 16x2.0;1;RED;;0
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-02;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002647.1<-->MFG-002650.1(1);154
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-02;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-02;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-02;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-02;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0097-KSch.KL.0114-02;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0098;-;0;Handhole;;0
Empty;;-;0;;;0
Node;AVt.KL.0003;-;0;MFG18-Sockel;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002663.1<-->MFG-001921.1(2);130
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002658.1<-->MFG-001921.1(1);130
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-002659.1<-->MFG-001921.1(1);130
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002660.1<-->MFG-001921.1(1);130
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;5;WHITE;*[CabL]:M-002662.1<-->MFG-001921.1(1);130
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;6;GREY;*[CabL]:M-002663.1<-->MFG-001921.1(1);130
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0101;-;0;Handhole;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002663.1<-->MFG-001921.1(2);64
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-002659.1<-->MFG-001921.1(1);64
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002660.1<-->MFG-001921.1(1);64
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;5;WHITE;*[CabL]:M-002662.1<-->MFG-001921.1(1);64
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;6;GREY;*[CabL]:M-002663.1<-->MFG-001921.1(1);64
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0102;-;0;Handhole;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002663.1<-->MFG-001921.1(2);114
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002660.1<-->MFG-001921.1(1);114
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;5;WHITE;*[CabL]:M-002662.1<-->MFG-001921.1(1);114
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;6;GREY;*[CabL]:M-002663.1<-->MFG-001921.1(1);114
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0103;-;0;Handhole;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002663.1<-->MFG-001921.1(2);300
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;5;WHITE;*[CabL]:M-002662.1<-->MFG-001921.1(1);300
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;6;GREY;*[CabL]:M-002663.1<-->MFG-001921.1(1);300
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0104;-;0;Handhole;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002663.1<-->MFG-001921.1(2);112
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;6;GREY;*[CabL]:M-002663.1<-->MFG-001921.1(1);112
ConduitLink;VL-KSch.KL.0105-AVt.KL.0003-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0105;-;0;Handhole;;0
Empty;;-;0;;;0
Node;AVt.KL.0003;-;0;MFG18-Sockel;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002656.1<-->MFG-001921.1(1);5
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002702.1<-->MFG-001921.1(1);5
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0100;-;0;Handhole;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;1;RED;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002702.1<-->MFG-001921.1(1);118
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0108-AVt.KL.0003-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0108;-;0;Handhole;;0
Empty;;-;0;;;0
Node;AVt.KL.0004;-;0;MFG18-Sockel;;0
ConduitLink;VL-KSch.KL.0113-AVt.KL.0004-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002681.1<-->MFG-002118.1(2);61
ConduitLink;VL-KSch.KL.0113-AVt.KL.0004-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002681.1<-->MFG-002118.1(1);61
ConduitLink;VL-KSch.KL.0113-AVt.KL.0004-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-KSch.KL.0113-AVt.KL.0004-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-KSch.KL.0113-AVt.KL.0004-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-KSch.KL.0113-AVt.KL.0004-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-KSch.KL.0113-AVt.KL.0004-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0113;-;0;Manhole;;0
Empty;;-;0;;;0
Node;AVt.KL.0005;-;0;MFG18-Sockel;;0
ConduitLink;VL-KSch.KL.0114-AVt.KL.0005-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002653.1<-->MFG-002650.1(2);83
ConduitLink;VL-KSch.KL.0114-AVt.KL.0005-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002647.1<-->MFG-002650.1(1);83
ConduitLink;VL-KSch.KL.0114-AVt.KL.0005-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-002640.1<-->MFG-002650.1(1);83
ConduitLink;VL-KSch.KL.0114-AVt.KL.0005-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002643.1<-->MFG-002650.1(1);83
ConduitLink;VL-KSch.KL.0114-AVt.KL.0005-01;SRV-G 7 x 16x2.0;5;WHITE;*[CabL]:M-002653.1<-->MFG-002650.1(1);83
ConduitLink;VL-KSch.KL.0114-AVt.KL.0005-01;SRV-G 7 x 16x2.0;6;GREY;*[CabL]:M-002457.1<-->MFG-002650.1(1);83
ConduitLink;VL-KSch.KL.0114-AVt.KL.0005-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0114;-;0;Handhole;;0
Empty;;-;0;;;0
